Index	Parent	Start	Move	End	Tags	Origin	Date	Video	Description
0						http://www.theemotionmachine.com/classification-of-emotions/			
1	0		Fear						Fearful
2	0		Anger						Angry
3	0		Love						Loving
4	0		Sadness						Sad
5	0		Joy						Joyful
6	0		Surprise						Surprised
7	3		Affection						Affectionate
8	3		Lust						Lusty
9	3		Longing						Longing
10	5		Cheerfulness						Cheerful
11	5		Zest						Zesty
12	5		Contentment						Contented
13	5		Pride						Proud
14	5		Optimism						Optimistic
15	5		Enthrallment						Enthralled
16	5		Relief						Relieved
17	6		Surprise						Surprised
18	2		Irritation						Irritated
19	2		Exasperation						Exasperated
20	2		Rage						Enraged
21	2		Disgust						Disgusted
22	2		Envy						Envious
23	2		Torment						Tormented
24	4		Suffering						Suffering
25	4		Sadness						Sad
26	4		Disappointment						Disappointed
27	4		Shame						Ashamed
28	4		Neglect						Neglected
29	4		Sympathy						Sympathetic
30	1		Horror						Horrified
31	1		Nervousness						Nervous
32	7		Adoration						Adoring
33	7		Affection						Affectionate
34	7		Love						Loved
35	7		Fondness						Fond
36	7		Liking						Liking
37	7		Attraction						Attracted
38	7		Caring						Caring
39	7		Tenderness						Tender
40	7		Compassion						Compassionate
41	7		Sentimentality						Sentimental
42	8		Arousal						Aroused
43	8		Desire						Desiring
44	8		Lust						Lusty
45	8		Passion						Passionate
46	8		Infatuation						Infatuated
47	9		Longing						Longing
48	10		Amusement						Amazed
49	10		Bliss						Blissful
50	10		Cheerfulness						Cheerful
51	10		Gaiety						Gay
52	10		Glee						Gleeful
53	10		Jolliness						Jolly
54	10		Joviality						Jovial
55	10		Joy						Joyful
56	10		Delight						Delighted
57	10		Enjoyment						Enjoy
58	10		Gladness						Glad
59	10		Happiness						Happy
60	10		Jubilation						Jubilation
61	10		Elation						Elated
62	10		Satisfaction						Satisfied
63	10		Ecstasy						Ecstatic
64	10		Euphoria						Euphoric
65	11		Enthusiasm						Enthusiastic
66	11		Zeal						Zeal
67	11		Zest						Zesty
68	11		Excitement						Excited
69	11		Thrill						Thrilled
70	11		Exhilaration						Exhilarated
71	12		Contentment						Contented
72	12		Pleasure						Pleased
73	13		Pride						Proud
74	13		Triumph						Triumphant
75	14		Eagerness						Eager
76	14		Hope						Hopeful
77	14		Optimism						Optimistic
78	15		Enthrallment						Enthrallment
79	15		Rapture						Enraptured
80	16		Relief						Relieved
81	17		Amazement						Amazed
82	17		Surprise						Surprised
83	17		Astonishment						Astonished
84	18		Aggravation						Aggravated
85	18		Irritation						Irritated
86	18		Agitation						Agitated
87	18		Annoyance						Annoyed
88	18		Grouchiness						Grouchy
89	18		Grumpiness						Grumpy
90	19		Exasperation						Exasperated
91	19		Frustration						Frustrated
92	20		Anger						Angry
93	20		Rage						Enraged
94	20		Outrage						Outraged
95	20		Fury						Furious
96	20		Wrath						Wrathful
97	20		Hostility						Hostile
98	20		Ferocity						Ferocious
99	20		Bitterness						Bitter
100	20		Hate						Hateful
101	20		Loathing						Loathing
102	20		Scorn						Scornful
103	20		Spite						Spiteful
104	20		Vengefulness						Vengeful
105	20		Dislike						Disliked
106	20		Resentment						Resentful
107	21		Disgust						Disgusted
108	21		Revulsion						Revolted
109	21		Contempt						Contemptuous
110	22		Envy						Envious
111	22		Jealousy						Jealous
112	23		Torment						Tormented
113	24		Agony						Agonized
114	24		Suffering						Suffering
115	24		Hurt						Hurt
116	24		Anguish						Anguish
117	25		Depression						Depressed
118	25		Despair						Despairing
119	25		Hopelessness						Hopeless
120	25		Gloom						Gloomy
121	25		Glumness						Glum
122	25		Sadness						Sad
123	25		Unhappiness						Unhappy
124	25		Grief						Grieving
125	25		Sorrow						Sorrowful
126	25		Woe						Woeful
127	25		Misery						Miserable
128	25		Melancholy						Melancholic
129	26		Dismay						Dismayed
130	26		Disappointment						Disappointed
131	26		Displeasure						Displeased
132	27		Guilt						Guilty
133	27		Shame						Ashamed
134	27		Regret						Regretful
135	27		Remorse						Remorseful
136	28		Alienation						Alienated
137	28		Isolation						Isolated
138	28		Neglect						Neglected
139	28		Loneliness						Lonely
140	28		Rejection						Rejected
141	28		Homesickness						Homesick
142	28		Defeat						Defeated
143	28		Dejection						Dejected
144	28		Insecurity						Insecure
145	28		Embarrassment						Embarrassed
146	28		Humiliation						Humiliated
147	28		Insult						Insulted
148	29		Pity						Piteous
149	29		Sympathy						Sympathetic
150	30		Alarm						Alarmed
151	30		Shock						Shocked
152	30		Fear						Fearful
153	30		Fright						Frightened
154	30		Horror						Horrified
155	30		Terror						Terrified
156	30		Panic						Panic
157	30		Hysteria						Hysterical
158	30		Mortification						Mortified
159	31		Anxiety						Anxious
160	31		Nervousness						Nervous
161	31		Tenseness						Tense
162	31		Uneasiness						Uneasy
163	31		Apprehension						Apprehensive
164	31		Worry						Worried
165	31		Distress						Distressed
166	31		Dread						Dreading
